Year,LocationAbbr,Class,Topic,Question,DataSource,Response,Data_Value_Type,Data_Value,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Break_Out,Break_Out_Category,Geolocation,ClassId,TopicId,QuestionId,LocationId,BreakOutId,BreakOutCategoryid,ResponseId
2007,MO,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,68.2,,62.8,73.1,333,Age 18 - 24,Maternal Age - 18 to 44 years in groupings,"(38.635790776, -92.566300053)",CLA9,TOP2,QUO100,29,AGE2,BOC17,RES40
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,63,,58,67.7,458,12 yrs,Maternal Education,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO100,5,12YR3,BOC5,RES40
2007,NY,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,49.6,,43.1,56,176,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO8,36,AGE3,BOC17,RES23
2007,MO,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,31.4,,26.2,37,131,"$50,000 or more",Income (years 2004 and beyond),"(38.635790776, -92.566300053)",CLA9,TOP2,QUO99,29,INC38,BOC14,RES25
2007,OH,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,4.7,,2.5,8.7,15,"$25,000 to $49,999",Income (years 2004 and beyond),"(40.060210141, -82.404260056)",CLA9,TOP2,QUO9,39,INC37,BOC14,RES40
2007,WI,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,28.6,,25.7,31.6,369,NBW (>2500g),Birth Weight,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO8,55,BWT2,BOC1,RES23
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,5.3,,3.5,7.8,38,>12 yrs,Maternal Education,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO9,5,12YR2,BOC5,RES40
2007,WI,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,Percentage,92.5,,89.5,94.7,470,>12 yrs,Maternal Education,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO9,55,12YR2,BOC5,RES23
2007,WI,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,Percentage,29.7,,25.4,34.3,179,Medicaid,Medicaid Recipient,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO100,55,MED1,BOC9,RES23
2007,AR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRNKR RESUMED,Percentage,0.2,,0,1.3,1,Smoker,Smoked 3 months before Pregnancy,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO99,5,SMK2,BOC12,RES26
2007,OR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,52.7,,45.8,59.5,270,12 yrs,Maternal Education,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO8,41,12YR3,BOC5,RES40
2007,WV,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,Percentage,96.9,,93.7,98.5,591,Smoker,Smoked last 3 months of Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO9,54,SMK2,BOC13,RES23
2007,WV,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,Percentage,,,,,,UNKNOWN PNC,Adequacy of Prenatal care,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO9,54,PNC4,BOC18,RES23
2007,OR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,51,,46.3,55.6,630,Intended,Pregnancy Intendedness,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO8,41,IND1,BOC11,RES23
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,65.5,,62.4,68.5,1095,Age 18 - 44,Maternal Age - 18 to 44 years only,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO100,5,AGE1844ALL,BOC16,RES40
2007,OH,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,29.9,,14.8,51.2,13,Hispanic,Maternal Race/Ethnicity,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO8,39,ETH2,BOC6,RES40
2007,OR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,5.1,,2.8,9,26,"$50,000 or more",Income (years 2004 and beyond),"(44.567449424, -120.155031326)",CLA9,TOP2,QUO99,41,INC38,BOC14,RES4
2007,AR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,,Percentage,39,,,,,,Mother Hispanic,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO8,5,BOC8,BOC8,
2007,WI,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,Percentage,92.9,,90.2,95,545,Intended,Pregnancy Intendedness,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO9,55,IND1,BOC11,RES23
2007,MO,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,0.3,,0,2,1,<20 yrs,Maternal Age (4 Levels),"(38.635790776, -92.566300053)",CLA9,TOP2,QUO99,29,AYR1,BOC4,RES3
2007,NY,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,,Percentage,23,,,,,,Maternal Race/Ethnicity,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO100,36,BOC6,BOC6,
2007,WI,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,37.3,,32.5,42.3,218,Medicaid,Medicaid Recipient,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO8,55,MED1,BOC9,RES23
2007,OH,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,70.1,,63.3,76.2,252,20-24 yrs,Maternal Age (4 Levels),"(40.060210141, -82.404260056)",CLA9,TOP2,QUO100,39,AYR4,BOC4,RES40
2007,HI,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,88,,,,,,Pregnancy Intendedness,"(21.304850435, -157.857749403)",CLA9,TOP2,QUO9,15,BOC11,BOC11,
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,Percentage,42.9,,39.2,46.7,549,Non-Smoker,Smoked 3 months before Pregnancy,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO100,5,SMK1,BOC12,RES23
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,,Percentage,82,,,,,,Maternal Education,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,BOC5,BOC5,
2007,NE,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,57.5,,50.1,64.5,211,"Less than $10,000",Income (years 2004 and beyond),"(41.641040988001, -99.365720623)",CLA9,TOP2,QUO8,31,INC39,BOC14,RES23
2007,WI,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,65.5,,60.3,70.3,220,OTHER,Marital Status,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO8,55,MA2,BOC3,RES40
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,Percentage,34.9,,31.8,38.2,385,NBW (>2500g),Birth Weight,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO100,5,BWT2,BOC1,RES23
2007,NE,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,2.9,,1.8,4.7,19,Non-Medicaid,Medicaid Recipient,"(41.641040988001, -99.365720623)",CLA9,TOP2,QUO99,31,MED2,BOC9,RES3
2007,OR,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,59,,,,,,Mother Hispanic,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO9,41,BOC8,BOC8,
2007,ME,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,4.9,,2.7,8.8,12,"$25,000 to $49,999",Income (years 2004 and beyond),"(45.254228894001, -68.985031336)",CLA9,TOP2,QUO9,23,INC37,BOC14,RES40
2007,OH,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,52.1,,48.1,56,324,LBW (<=2500g),Birth Weight,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO8,39,BWT1,BOC1,RES40
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,1.7,,0.5,5.6,3,20-24 yrs,Maternal Age (4 Levels),"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,AYR4,BOC4,RES3
2007,NY,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,35.5,,31.2,40.2,263,>12 yrs,Maternal Education,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO8,36,12YR2,BOC5,RES23
2007,AR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,55,,49.6,60.2,298,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO8,5,AGE3,BOC17,RES40
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,2.3,,1.2,4.3,15,Unintended,Pregnancy Intendedness,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,IND2,BOC11,RES3
2007,WV,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,,Percentage,40,,,,,,Birth Weight,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,BOC1,BOC1,
2007,NE,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,,Percentage,34,,,,,,Marital Status,"(41.641040988001, -99.365720623)",CLA9,TOP2,QUO8,31,BOC3,BOC3,
2007,MO,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,Percentage,23.3,,19.8,27.2,174,>12 yrs,Maternal Education,"(38.635790776, -92.566300053)",CLA9,TOP2,QUO100,29,12YR2,BOC5,RES23
2007,AR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,,Percentage,135,,,,,,Maternal Age - 18 to 44 years only,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO99,5,BOC16,BOC16,
2007,NY,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,86,,78.3,91.3,131,< 12 yrs,Maternal Education,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO99,36,12YR1,BOC5,RES25
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,23.8,,20.3,27.7,181,Non-Medicaid,Medicaid Recipient,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,MED2,BOC9,RES25
2007,NY,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,3.8,,1.7,8.5,9,35+ yrs,Maternal Age (4 Levels),"(42.827001032, -75.543970427)",CLA9,TOP2,QUO99,36,AYR6,BOC4,RES4
2007,NY,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,,Percentage,23,,,,,,Adequacy of Prenatal care,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO100,36,BOC18,BOC18,
2007,NE,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,57.4,,54.5,60.2,705,Age 18 - 44,Maternal Age - 18 to 44 years only,"(41.641040988001, -99.365720623)",CLA9,TOP2,QUO99,31,AGE1844ALL,BOC16,RES17
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,2.6,,1.4,4.6,24,MARRIED,Marital Status,"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,MA1,BOC3,RES4
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,126,,,,,,Income (years 2004 and beyond),"(34.748650124, -92.274490743)",CLA9,TOP2,QUO9,5,BOC14,BOC14,
2007,HI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,4,,2.7,5.9,25,"$50,000 or more",Income (years 2004 and beyond),"(21.304850435, -157.857749403)",CLA9,TOP2,QUO99,15,INC38,BOC14,RES3
2007,OR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,57.8,,50.1,65.1,273,"$10,000 to $24,999",Income (years 2004 and beyond),"(44.567449424, -120.155031326)",CLA9,TOP2,QUO8,41,INC36,BOC14,RES23
2007,MO,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,57.2,,46.9,66.9,74,35+ yrs,Maternal Age (4 Levels),"(38.635790776, -92.566300053)",CLA9,TOP2,QUO99,29,AYR6,BOC4,RES17
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,3.1,,2,4.6,30,NBW (>2500g),Birth Weight,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,BWT2,BOC1,RES4
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,3.3,,1.2,8.6,5,INTERMEDIATE PNC,Adequacy of Prenatal care,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,PNC3,BOC18,RES3
2007,OR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,YES,Percentage,40.6,,35.5,45.9,363,Medicaid,Medicaid Recipient,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO8,41,MED1,BOC9,RES40
2007,WV,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,2.7,,1.6,4.7,20,Non-Smoker,Smoked 3 months before Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,SMK1,BOC12,RES4
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS REDUCED,Percentage,2.4,,1.1,5.3,7,Age 25 - 29,Maternal Age - 18 to 44 years in groupings,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,AGE3,BOC17,RES3
2007,OH,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,41.8,,35.9,48,202,30+ yrs,Maternal Age (3 Levels),"(40.060210141, -82.404260056)",CLA9,TOP2,QUO99,39,AYR3,BOC19,RES25
2007,WV,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,39.2,,35,43.7,375,WIC,On WIC during Pregnancy,"(38.665510202, -80.712640135)",CLA9,TOP2,QUO99,54,WIC2,BOC10,RES17
2007,HI,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,40,,,,,,Medicaid Recipient,"(21.304850435, -157.857749403)",CLA9,TOP2,QUO9,15,BOC9,BOC9,
2007,AR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,64.7,,60.3,68.9,561,Unintended,Pregnancy Intendedness,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO100,5,IND2,BOC11,RES40
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,2.9,,1.1,7.9,6,Smoker,Smoked last 3 months of Pregnancy,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,SMK2,BOC13,RES4
2007,NY,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,DRINKER WHO QUIT,Percentage,48.8,,43.8,53.8,296,25-34 yrs,Maternal Age (4 Levels),"(42.827001032, -75.543970427)",CLA9,TOP2,QUO99,36,AYR5,BOC4,RES17
2007,OR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,,Percentage,38,,,,,,Number of Previous Live Births,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO100,41,BOC20,BOC20,
2007,MO,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,3.5,,1.6,7.5,9,"Less than $10,000",Income (years 2004 and beyond),"(38.635790776, -92.566300053)",CLA9,TOP2,QUO99,29,INC39,BOC14,RES4
2007,OR,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,58,,,,,,Number of Previous Live Births,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO9,41,BOC20,BOC20,
2007,WI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,28.9,,26.1,31.8,397,None,None,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO99,55,BOC99,BOC99,RES25
2007,OR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,0.6,,0.1,2.2,2,INADEQUATE PNC,Adequacy of Prenatal care,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO99,41,PNC2,BOC18,RES4
2007,OR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,53.9,,46.3,61.3,290,INTERMEDIATE PNC,Adequacy of Prenatal care,"(44.567449424, -120.155031326)",CLA9,TOP2,QUO99,41,PNC3,BOC18,RES25
2007,AR,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,,Percentage,41,,,,,,Mother Hispanic,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO99,5,BOC8,BOC8,
2007,OR,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,YES,Percentage,60.8,,53.5,67.7,252,20-24 yrs,Maternal Age (4 Levels),"(44.567449424, -120.155031326)",CLA9,TOP2,QUO100,41,AYR4,BOC4,RES40
2007,HI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,3.5,,2.7,4.5,56,NBW (>2500g),Birth Weight,"(21.304850435, -157.857749403)",CLA9,TOP2,QUO99,15,BWT2,BOC1,RES4
2007,AR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,56.3,,52.2,60.3,646,WIC,On WIC during Pregnancy,"(34.748650124, -92.274490743)",CLA9,TOP2,QUO8,5,WIC2,BOC10,RES23
2007,ME,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,#DRKS SAME OR MORE,Percentage,,,,,,Hispanic,Mother Hispanic,"(45.254228894001, -68.985031336)",CLA9,TOP2,QUO99,23,HIS1,BOC8,RES4
2007,NY,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,NO,Percentage,88.4,,80.3,93.5,147,Smoker,Smoked last 3 months of Pregnancy,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO9,36,SMK2,BOC13,RES23
2007,MO,Maternal Behavior/Health,Alcohol Use,Indicator of drinking any alcohol during the past two years,PRAMS,NO,Percentage,29.4,,24.9,34.2,168,Unintended,Pregnancy Intendedness,"(38.635790776, -92.566300053)",CLA9,TOP2,QUO100,29,IND2,BOC11,RES23
2007,NY,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,5.6,,3,10.5,15,INTERMEDIATE PNC,Adequacy of Prenatal care,"(42.827001032, -75.543970427)",CLA9,TOP2,QUO9,36,PNC3,BOC18,RES40
2007,WI,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,6.4,,4.1,9.8,25,0,Number of Previous Live Births,"(44.393191174, -89.816370742)",CLA9,TOP2,QUO9,55,PRV0,BOC20,RES40
2007,ME,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRNKR RESUMED,Percentage,0.2,,0,0.9,2,Non-Smoker,Smoked last 3 months of Pregnancy,"(45.254228894001, -68.985031336)",CLA9,TOP2,QUO99,23,SMK1,BOC13,RES26
2007,HI,Maternal Behavior/Health,Alcohol Use,Change in drinking between three months before pregnancy and last three months of pregnancy,PRAMS,NONDRINKER,Percentage,47.5,,44.5,50.5,502,Non-WIC,On WIC during Pregnancy,"(21.304850435, -157.857749403)",CLA9,TOP2,QUO99,15,WIC1,BOC10,RES25
2007,OR,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,,Percentage,56,,,,,,Maternal Age (3 Levels),"(44.567449424, -120.155031326)",CLA9,TOP2,QUO9,41,BOC19,BOC19,
2007,AR,Maternal Behavior/Health,Alcohol Use,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,PRAMS,NO,Percentage,47.1,,43.1,51.1,550,20-29 yrs,Maternal Age (3 Levels),"(34.748650124, -92.274490743)",CLA9,TOP2,QUO8,5,AYR2,BOC19,RES23
2007,MO,Maternal Behavior/Health,Alcohol Use,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,PRAMS,YES,Percentage,4.8,,3.2,7.2,30,>12 yrs,Maternal Education,"(38.635790776, -92.566300053)",CLA9,TOP2,QUO9,29,12YR2,BOC5,RES40
